"filename", "language", "pip requirements", "Jupyter", "comment", "blank", "total"
"/home/ilobach/fur/acnet_reader/.ipynb_checkpoints/acnet_reader-checkpoint.ipynb", "Jupyter", 0, 296, 0, 1, 297
"/home/ilobach/fur/acnet_reader/acnet_reader.ipynb", "Jupyter", 0, 296, 0, 1, 297
"/home/ilobach/fur/acnet_reader/fur_data_reader_tests.ipynb", "Jupyter", 0, 240, 0, 0, 240
"/home/ilobach/fur/fur/tests/testing_calcuation_of_fluctuation.ipynb", "Jupyter", 0, 508, 0, 0, 508
"/home/ilobach/fur/fur/tests/testing_finding_period.ipynb", "Jupyter", 0, 301, 0, 0, 301
"/home/ilobach/fur/fur_cpp/jupyter/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/fur_cpp/jupyter/.ipynb_checkpoints/cpp-checkpoint.ipynb", "Jupyter", 0, 473, 0, 1, 474
"/home/ilobach/fur/fur_cpp/jupyter/Untitled.ipynb", "Jupyter", 0, 210, 0, 1, 211
"/home/ilobach/fur/fur_cpp/jupyter/cpp.ipynb", "Jupyter", 0, 502, 0, 1, 503
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_03_10_2020-checkpoint.ipynb", "Jupyter", 0, 289, 0, 1, 290
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 13901, 0, 1, 13902
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_FLAT_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 1175, 0, 1, 1176
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_ROUND_03_16_2020-checkpoint.ipynb", "Jupyter", 0, 1082, 0, 1, 1083
"/home/ilobach/fur/lattice/lattice_devs/.ipynb_checkpoints/lattice_dev_ROUND_03_16_2020_for_each_camera-checkpoint.ipynb", "Jupyter", 0, 1175, 0, 1, 1176
"/home/ilobach/fur/lattice/lattice_devs/diffraction_effects_etc.ipynb", "Jupyter", 0, 79, 0, 0, 79
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_03_10_2020.ipynb", "Jupyter", 0, 948, 0, 1, 949
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_03_16_2020.ipynb", "Jupyter", 0, 13901, 0, 1, 13902
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_FLAT_03_16_2020.ipynb", "Jupyter", 0, 1163, 0, 1, 1164
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_ROUND_03_16_2020.ipynb", "Jupyter", 0, 7769, 0, 1, 7770
"/home/ilobach/fur/lattice/lattice_devs/lattice_dev_ROUND_03_16_2020_for_each_camera.ipynb", "Jupyter", 0, 1252, 0, 1, 1253
"/home/ilobach/fur/requirements.txt", "pip requirements", 43, 0, 0, 1, 44
"/home/ilobach/fur/shifts/APT_seminar_08_14_2020/.ipynb_checkpoints/on_axis_many_pulses_diagram-checkpoint.ipynb", "Jupyter", 0, 103, 0, 1, 104
"/home/ilobach/fur/shifts/APT_seminar_08_14_2020/on_axis_many_pulses_diagram.ipynb", "Jupyter", 0, 103, 0, 1, 104
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/.ipynb_checkpoints/experiment_description-checkpoint.ipynb", "Jupyter", 0, 280, 0, 1, 281
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/Untitled.ipynb", "Jupyter", 0, 115, 0, 1, 116
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/directly_connected_pulses/.ipynb_checkpoints/Untitled-checkpoint.ipynb", "Jupyter", 0, 236, 0, 1, 237
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/directly_connected_pulses/Untitled.ipynb", "Jupyter", 0, 236, 0, 1, 237
"/home/ilobach/fur/shifts/IOTA_Collaboration_meeting_2020/experiment_description.ipynb", "Jupyter", 0, 288, 0, 1, 289
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/M_calculation_BNL-checkpoint.ipynb", "Jupyter", 0, 3456, 0, 1, 3457
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/M_calculation_IOTA-checkpoint.ipynb", "Jupyter", 0, 3534, 0, 1, 3535
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/for_paper-checkpoint.ipynb", "Jupyter", 0, 303, 0, 1, 304
"/home/ilobach/fur/shifts/for_PRAB_paper/.ipynb_checkpoints/vpython_test-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRAB_paper/M_calculation_BNL.ipynb", "Jupyter", 0, 3456, 0, 1, 3457
"/home/ilobach/fur/shifts/for_PRAB_paper/M_calculation_IOTA.ipynb", "Jupyter", 0, 3534, 0, 1, 3535
"/home/ilobach/fur/shifts/for_PRAB_paper/for_paper.ipynb", "Jupyter", 0, 303, 0, 1, 304
"/home/ilobach/fur/shifts/for_PRAB_paper/vpython_test.ipynb", "Jupyter", 0, 163, 0, 1, 164
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_estimations-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_flat_avN_M-checkpoint.ipynb", "Jupyter", 0, 843, 0, 1, 844
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_flat_avN_M_v1-checkpoint.ipynb", "Jupyter", 0, 883, 0, 1, 884
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M-checkpoint.ipynb", "Jupyter", 0, 686, 0, 1, 687
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v1-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v2-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/aps_upgrade_round_avN_M_v3-checkpoint.ipynb", "Jupyter", 0, 933, 0, 1, 934
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/australian_synchrotron-checkpoint.ipynb", "Jupyter", 0, 670, 0, 1, 671
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/australian_synchrotron_avN_M-checkpoint.ipynb", "Jupyter", 0, 629, 0, 1, 630
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/figures-checkpoint.ipynb", "Jupyter", 0, 6, 0, 1, 7
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/generate_numericalvalues-checkpoint.ipynb", "Jupyter", 0, 684, 0, 1, 685
"/home/ilobach/fur/shifts/for_PRL_paper/.ipynb_checkpoints/samle_Sigma_Delta_waveforms-checkpoint.ipynb", "Jupyter", 0, 119, 0, 1, 120
