,N,varN,errorbar
0,6693879.389122463,24292178.215281397,2688549.4878735114
1,6868606.838842592,25836668.509409256,2688549.4878735114
2,7057311.54826781,27670875.232002366,2688549.4878735114
3,7249982.525209272,28155786.608152438,2688549.4878735114
4,7445826.651855402,27410624.124282483,2688549.4878735114
5,7662788.473115057,30900906.155312967,2688549.4878735114
6,7870760.721232348,28856400.703164965,2688549.4878735114
7,8847174.911496703,36103336.7884328,2688549.4878735114
8,9094929.243446115,38082662.94876211,2688549.4878735114
9,9377716.790004259,40228962.71227482,2688549.4878735114
10,10172488.004583191,43176709.99394673,2688549.4878735114
11,10475276.16408098,46698076.47113904,2688549.4878735114
12,10981150.314656716,48773065.67046708,2688549.4878735114
13,11876958.564459834,55745229.15289743,2688549.4878735114
14,12692587.284874927,62356338.024333894,2688549.4878735114
15,13075683.541618137,61630507.230493285,2688549.4878735114
16,13503913.561661165,64387807.61811815,2688549.4878735114
17,13942637.975467674,65047016.06166656,2688549.4878735114
18,14465676.443849344,72055039.66224054,2688549.4878735114
19,14906365.333809339,70999968.28815491,2688549.4878735114
20,15425711.971077489,76032046.67400981,2688549.4878735114
21,15460221.755068908,80686250.87738028,2688549.4878735114
22,15899993.708568381,80270180.52515638,2688549.4878735114
23,15995965.034519553,85651159.14912048,2688549.4878735114
24,16484485.5774096,85088407.77196053,2688549.4878735114
25,16705441.82220704,88271527.78723814,2688549.4878735114
26,17032618.863254648,90591068.21649152,2688549.4878735114
27,17129977.63653232,89491888.04552367,2688549.4878735114
28,17251034.959988315,91935936.57254566,2688549.4878735114
29,17595225.022629727,95141328.4807233,2688549.4878735114
30,17740739.41269975,96812380.98695414,2688549.4878735114
31,17938869.60475744,96200211.18627965,2688549.4878735114
32,18195174.208067358,98042856.46372634,2688549.4878735114
33,18486443.162463438,102379290.90572275,2688549.4878735114
34,18572888.933175452,107070243.6173019,2688549.4878735114
35,18652163.399124093,108747820.95730056,2688549.4878735114
36,19039824.323648576,109097268.95923224,2688549.4878735114
37,19243165.075837087,108024291.69212584,2688549.4878735114
38,19349187.76224895,111623776.65529662,2688549.4878735114
39,19435808.235986184,113710855.78470667,2688549.4878735114
40,19666318.192044318,109305863.40681002,2688549.4878735114
41,20129625.187259674,114033484.0730945,2688549.4878735114
42,20131816.60773136,117010895.75774138,2688549.4878735114
43,20142760.14092278,113642990.60893486,2688549.4878735114
44,20385358.528638583,117870374.01968293,2688549.4878735114
45,20867038.17598188,121498250.6404764,2688549.4878735114
46,20888470.675269973,126080387.07673113,2688549.4878735114
47,21130682.680955235,127477543.86254618,2688549.4878735114
48,21783782.972018972,131311078.18033972,2688549.4878735114
49,21888781.525550954,128693324.07878657,2688549.4878735114
