,N,Sigma_um_X,Sigma_um_Y,sz_um,ex_um,ey_um,dp/p
0,6822991.412424512,465.8004559326031,263.4427640376757,242511.73799712767,0.08092865331054394,0.0705218984836558,0.00022570587501537863
1,7442277.906322903,470.8680086725241,267.4261680419818,245762.67871254528,0.0827296734627888,0.07267060335243886,0.00022803209918858373
2,8084031.502274015,478.592273126872,271.33902809722275,248504.54809353343,0.08555183888398375,0.07481341637268041,0.00023129239956490001
3,8735399.83665791,481.0470352016571,275.16679568958375,251154.91222693698,0.08629323783756236,0.0769381191145629,0.00023314968892503083
4,9403211.16976309,483.6273766611301,277.247744757882,254092.58936710012,0.0870764474762478,0.07810582017111617,0.00023504146190296828
5,10029371.618805975,489.5769810391686,280.27239979964514,255659.77783260672,0.08953170926127064,0.07981911370390045,0.00023668879516283698
6,10679635.90509784,496.4087771715442,282.85543867529947,256853.52685485053,0.09259281134238226,0.08129753854170986,0.0002377102676478715
7,11323667.466433339,498.6317958312956,285.7403789431548,259136.56460201024,0.09323040438669068,0.08296434954716103,0.0002395786607979747
8,11969572.035095338,500.7810855473614,288.63664877922287,261665.11560085893,0.09382430676603702,0.08465457298211786,0.00024148486561581552
9,12636101.063691936,502.086303072522,291.5938800883822,264075.81634839374,0.09390470854540478,0.08639768221221661,0.00024378878015265856
10,13287896.034891218,506.63996342271054,294.0066392123821,266109.1650067892,0.09575429278700272,0.08783340751574538,0.00024543986310908
11,13928909.657673892,509.015863610844,296.4495223097704,267428.7073105716,0.09672520815414848,0.08929878228784294,0.0002463072213268875
12,14575673.802248016,512.3242265431459,298.945848665161,269478.4146162791,0.09801079446859971,0.09080929812623095,0.0002478079213924387
13,15216629.047073655,515.7875423838743,301.31702680491827,270264.7903165748,0.09945798105776282,0.09225549624427413,0.00024901550891121986
14,15863069.107301839,519.5025518227441,303.4658200058524,271728.5196901425,0.10123659863329312,0.09357591396973174,0.0002494531459225412
15,16520009.35303065,522.2232322315806,305.68482758643165,273968.0923190671,0.10215860377673937,0.09494926940148415,0.0002513205933849607
16,17165481.190582052,525.5215731180897,308.2031077111079,275365.42231089156,0.1030320069444225,0.09652495283564268,0.00025441554536017685
17,17813219.675429747,526.3202405113138,310.102005284055,277255.93406221847,0.10365785490266069,0.09771324884548296,0.0002537214346088607
18,18460276.995934736,531.1715825021794,311.57467399936473,278840.2693539226,0.10568007350799777,0.09864337781866789,0.0002556613660634088
19,19109228.470301323,535.0371142100392,313.91406546904534,280931.42994031444,0.10674857173296382,0.10013261299641321,0.0002592815890725671
20,19749586.81468057,536.6248444053739,315.3531764852859,282580.4171147285,0.10775957812648654,0.1010504464783332,0.00025867728044266206
21,20398000.14031938,538.6514734251058,317.2913717585242,284077.22808479745,0.10857855274169659,0.1022963426460124,0.00025964082707791576
22,20912225.71613314,540.267131848792,318.80238900226294,285360.62224355846,0.10915945577422519,0.10327282434409012,0.00026069073498559257
