,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
0,0.0,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,0.0,0.0,0.0,0.0,0.0
1,228451.17419394545,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,239340.78615899722,244843.0209113205,236604.1012938957,245292.2993961921,236497.33870423608
2,456902.3483878909,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,500460.796248098,522469.735257391,489514.0567876919,524266.84919687756,489087.0064290534
3,685353.5225818363,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,783360.0302673023,832880.1430382116,758729.8664813886,836923.6494020562,757769.0031744519
4,913804.6967757818,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,1088038.4882166102,1176074.2442537823,1044251.5303749859,1183262.7000117283,1042543.3289404317
5,1142255.8709697272,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,1414496.1700960216,1552052.038904103,1346079.0484684836,1563284.0010258935,1343409.9837269927
6,1370707.0451636727,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,1762733.0759055365,1960813.5269891736,1664212.4207618819,1976987.552444552,1660368.9675341349
7,1599158.2193576181,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,2132749.205645155,2402358.7085089944,1998651.6472551806,2424373.3542677043,1993420.2803618584
8,1827609.3935515636,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,2524544.5593148773,2876687.5834635654,2349396.7279483797,2905441.4064953495,2342563.9222101634
9,2056060.567745509,520.2231023839646,211.88721845297488,43.217790211805706,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,4792635.326041598,8749.784455336741,17159.250450278276,110894.96484094654,529623.9684568709,1608739.0945527987,529623.9684568709,1693677.3666512058,2938119.136914703,3383800.1518528867,2716447.6628414798,3420191.7091274885,2707799.893079049
