wavelength_um,photo_sensitivity_A_per_W
0.805822283,0.067027384
0.835335061,0.09430473
0.862378702,0.124051212
0.884473911,0.163684398
0.909002693,0.218167962
0.921180714,0.287471422
0.933348575,0.361723315
0.943037139,0.443392775
0.957669055,0.517649749
0.982152111,0.59440126
1.02886247,0.646456333
1.075613474,0.678717675
1.102672357,0.701041508
1.122313672,0.735721181
1.144449525,0.755560636
1.161662348,0.772915714
1.186363867,0.743275923
1.201041508,0.795264949
1.240430829,0.812665752
1.279784586,0.847386069
1.309277041,0.88456028
1.338779658,0.916786059
1.356012803,0.924244272
1.368348321,0.916847025
1.375710004,0.931707565
1.385566225,0.931727887
1.400355637,0.929284154
1.412620027,0.956525936
1.439663669,0.986272418
1.479063151,0.998724788
1.516029061,0.996326779
1.528349337,0.996352182
1.54556216,1.01370726
1.562759742,1.038484987
1.589833867,1.053386171
1.626825179,1.038617081
1.658934106,1.001569883
1.671391556,0.934791444
1.673987705,0.8704669
1.676680384,0.759132246
1.679434029,0.618106996
1.682111467,0.514194991
1.684809226,0.40038612
1.692450338,0.279164761
1.702494538,0.187639079
1.724869176,0.091190367
1.75704415,0
1.796504598,0
