wavelength_nm,reflectance_percent
2000,4.01206
1990,3.88506
1980,3.76057
1970,3.63421
1960,3.51432
1950,3.39137
1940,3.25765
1930,3.15902
1920,3.01593
1910,2.91227
1900,2.76905
1890,2.67785
1880,2.54883
1870,2.43445
1860,2.35485
1850,2.20367
1840,2.10721
1830,2.00383
1820,1.89069
1810,1.79414
1800,1.67801
1790,1.5782
1780,1.46911
1770,1.38165
1760,1.2661
1750,1.16126
1740,1.05643
1730,0.95159
1720,0.84807
1710,0.74354
1700,0.63904
1690,0.53466
1680,0.4536
1670,0.38712
1660,0.31304
1650,0.2729
1640,0.22513
1630,0.20159
1620,0.18805
1610,0.17451
1600,0.16097
1590,0.14743
1580,0.13389
1570,0.12753
1560,0.10307
1550,0.08615
1540,0.07766
1530,0.07079
1520,0.05383
1510,0.06028
1500,0.05612
1490,0.06147
1480,0.06705
1470,0.08268
1460,0.09657
1450,0.12257
1440,0.1418
1430,0.15248
1420,0.17592
1410,0.20475
1400,0.22378
1390,0.25072
1380,0.27445
1370,0.30945
1360,0.33184
1350,0.3511
1340,0.37364
1330,0.39364
1320,0.41406
1310,0.4263
1300,0.43875
1290,0.44907
1280,0.4531
1270,0.45031
1260,0.45094
1250,0.44083
1240,0.42507
1230,0.40774
1220,0.38808
1210,0.36379
1200,0.33737
1190,0.30258
1180,0.25996
1170,0.22219
1160,0.18879
1150,0.15134
1140,0.10561
1130,0.0747
1120,0.05547
1110,0.03083
1100,0.03367
1090,0.03944
1080,0.06188
1070,0.11511
1060,0.19431
1050,0.3022
1040,0.43834
1030,0.62567
1020,0.85213
1010,1.11436
1000,1.43755
990,1.82643
980,2.26376
970,2.74951
960,3.31241
950,3.95504
940,4.64449
930,5.37956
920,6.20279
910,7.07668
900,7.96804
