wavelength_nm,reflectance_percent
620,88.02738
625,92.99117
630,96.03395
635,97.90199
640,98.82887
645,99.22952
650,99.36806
655,99.57898
660,99.73265
665,99.83889
670,99.8886
675,99.92855
680,99.93962
685,99.95062
690,100
695,100
700,100
705,100
710,100
715,100
720,100
725,100
730,100
735,100
740,100
745,100
750,100
755,100
760,100
765,100
770,100
775,100
780,100
785,100
790,100
795,100
800,100
805,100
810,100
815,100
820,100
825,100
830,100
835,100
840,100
845,100
850,100
855,100
860,100
865,100
870,100
875,100
880,100
885,100
890,99.56469
895,99.54666
900,99.37535
905,99.35735
910,99.48939
915,99.59963
920,99.64889
925,99.65452
930,99.71683
935,99.78994
940,99.81123
945,99.78562
950,99.7689
955,99.8324
960,99.80819
965,99.68605
970,99.6922
975,99.68421
980,99.61757
985,99.55354
990,99.50822
995,99.45603
1000,99.51726
1005,99.59501
1010,99.6152
1015,99.63646
1020,99.67948
1025,99.67683
1030,99.64476
1035,99.57829
1040,99.57871
1045,99.51969
1050,99.49074
1055,99.4452
1060,99.42581
1065,99.45215
1070,99.46602
1075,99.47627
1080,99.49196
1085,99.50029
1090,99.50253
1095,99.4637
1100,99.39864
1105,99.45208
1110,99.48116
1115,99.46099
1120,99.51971
1125,99.55052
1130,99.47691
1135,99.46894
1140,99.46421
1145,99.46106
1150,99.43859
1155,99.48595
1160,99.48484
1165,99.47386
1170,99.48744
1175,99.45376
1180,99.42962
1185,99.43832
1190,99.44975
1195,99.49063
1200,99.44256
1205,99.35249
1210,99.32862
1215,99.26337
1220,99.2068
1225,99.1411
1230,99.15511
1235,99.18973
1240,99.19569
1245,99.26039
1250,99.27129
1255,99.17337
1260,98.73665
1265,97.69485
1270,94.69406
1275,89.10709
